condition,coupling,duration_s,height_diff_max_mm,height_diff_rms_mm,invalid_reason,participant,path_efficiency,scenario,sep_err_max_mm,sep_err_rms_mm,task,tilt_max_deg,tilt_rms_deg,time_above_threshold_s,valid,wear_time_s
direct,rigid,4.78,11.19654711415441,6.059255516667571,,P00,1.0,S1_short_straight,14.506062532344266,7.222840227105146,T3_rigid,2.068503743065072,1.1196567808972646,0.0,True,300
direct,rigid,9.58,11.993355361587188,5.811832072228641,,P00,1.0,S2_long_height,17.607274526687366,7.581929262294912,T3_rigid,2.2155680812708587,1.0739514040594973,0.0,True,360
direct,rigid,7.18,12.362878256988452,6.031145253368327,,P00,0.7838508992371378,S3_curved_obstacle,18.26999412405711,7.825317890014028,T3_rigid,2.283759940337352,1.1144597210546028,0.0,True,420
direct,rigid,7.18,12.326865129205888,5.887503589247788,,P00,1.0,S4_tight,17.220655325307533,7.86315768890297,T3_rigid,2.139239770474367,1.0220193725038658,0.0,True,480
assisted,rigid,4.78,6.9219634016999265,3.3966485481579043,,P00,1.0,S1_short_straight,9.489909898871163,4.257000126628452,T3_rigid,1.2791399882580763,0.6277425358150859,0.0,True,540
assisted,rigid,9.58,29.482964834247394,11.81423192827929,autonomy silently disabled,P00,1.0,S2_long_height,42.85479712719542,15.03203055475492,T3_rigid,5.432850671667834,2.181276001713195,0.0,False,600
assisted,rigid,7.18,6.972323927881607,3.296390998849469,,P00,0.7838508992371378,S3_curved_obstacle,10.609162881764556,4.287643818627637,T3_rigid,1.2884432050741113,0.6092132622252903,0.0,True,660
assisted,rigid,7.18,7.579434048907707,3.3521764684084467,,P00,1.0,S4_tight,10.773844460698012,4.289284830425792,T3_rigid,1.3157371003381984,0.5819787474783313,0.0,True,720
shared,rigid,4.78,3.2670792554796435,1.5607809713083536,,P00,1.0,S1_short_straight,3.586484128254186,1.8321150380195848,T3_rigid,0.6038158798590553,0.28846729604373095,0.0,True,780
shared,rigid,9.58,3.485840960953279,1.4829781164783247,,P00,1.0,S2_long_height,3.7609011211804932,1.8459261000204057,T3_rigid,0.6442437352078593,0.274087700621306,0.0,True,840
shared,rigid,7.18,3.165012201719719,1.4665762062529002,,P00,0.7838508992371378,S3_curved_obstacle,4.576936165549994,1.9329659010767495,T3_rigid,0.5849533572168897,0.27105634668690154,0.0,True,900
shared,rigid,7.18,3.145613647870693,1.5515943380137238,,P00,1.0,S4_tight,4.075330575083358,2.0244278468349837,T3_rigid,0.5461361442246493,0.2693896560699128,0.0,True,960
assisted,rigid,4.78,6.719492439132058,3.3811917665660745,,P01,1.0,S1_short_straight,9.298002600210465,4.206410916521202,T3_rigid,1.2417363818627523,0.6248838501804452,0.0,True,1020
assisted,rigid,9.58,7.442616685779058,3.266870411213319,,P01,1.0,S2_long_height,8.89805486225842,4.283620227830193,T3_rigid,1.37531813125971,0.603757562012592,0.0,True,1080
assisted,rigid,7.18,7.417816310156589,3.2824593388968406,,P01,0.7838508992371378,S3_curved_obstacle,8.535498645614704,4.350133379273838,T3_rigid,1.3707370312550609,0.6066389340218659,0.0,True,1140
assisted,rigid,7.18,6.466255441678115,3.2422641674803914,,P01,1.0,S4_tight,9.556474951180228,4.289001291578126,T3_rigid,1.1225507278819016,0.5629015831233198,0.0,True,1200
shared,rigid,4.78,2.8843025519256216,1.5083051233467224,,P01,1.0,S1_short_straight,4.153748755579334,1.9213600296280495,T3_rigid,0.53307611163579,0.2787687442307043,0.0,True,1260
shared,rigid,9.58,3.410714045573915,1.455521502124278,,P01,1.0,S2_long_height,4.7708522373171025,1.91380140023133,T3_rigid,0.6303601138327126,0.26901325930652015,0.0,True,1320
shared,rigid,7.18,3.0140973901748858,1.4994987709747378,,P01,0.7838508992371378,S3_curved_obstacle,4.388847344209634,1.9674500093256007,T3_rigid,0.5570632836004462,0.27714110732062525,0.0,True,1380
shared,rigid,7.18,3.145989022440343,1.5211279137521891,,P01,1.0,S4_tight,4.443050875794386,1.9657840172033918,T3_rigid,0.5462013121771213,0.26410027457534047,0.0,True,1440
direct,rigid,4.78,13.213425973958248,6.3324024729640405,,P01,1.0,S1_short_straight,15.705205140823686,7.2813395032232195,T3_rigid,2.440695342689019,1.1700977048271408,0.0,True,1500
direct,rigid,9.58,15.03892444046162,5.782581049697559,,P01,1.0,S2_long_height,17.560104807947454,7.3119241288072745,T3_rigid,2.7773931625243664,1.0685375026698127,0.0,True,1560
direct,rigid,7.18,14.040402151513032,6.008379026283238,,P01,0.7838508992371378,S3_curved_obstacle,18.730980489481517,8.016904681618488,T3_rigid,2.593246431171277,1.1102558762383372,0.0,True,1620
direct,rigid,7.18,12.77875222359004,5.904378858082771,,P01,1.0,S4_tight,15.949093301204753,7.856012164113935,T3_rigid,2.217584649570582,1.0249302507911988,0.0,True,1680
shared,rigid,4.78,2.9432934447854997,1.5528671781381418,,P02,1.0,S1_short_straight,3.8304432515476328,1.9473009160704062,T3_rigid,0.5439781458216786,0.2870048213527449,0.0,True,1740
shared,rigid,9.58,3.579395146370512,1.4475081342594847,,P02,1.0,S2_long_height,4.370771529164541,1.879469579029507,T3_rigid,0.6615326511925148,0.2675321591969283,0.0,True,1800
